QueryType,QueryText,KccAns
Seeds and Planting Material,Tell me tomato varieties.,"Pusa sadabahar,pusa hybrid-1,pusa hybrid-2,pusa hybrid-4"
Seeds and Planting Material,Tell me chilli varieties.,"Pusa jwala,pusa sadabahar,pant c-1"
"Animal Production (Piggery, Goatery, Sheep Farming etc.)",Tell me pig farming related license.,"Deputy director,animal husbandry & dairying,faridabad 0129-2421558"
Seeds and Planting Material,Tell me bhindi sowing time.,Bhindi sowing 20 feb-15 march.
Market Information,Tell me contact num of cari,Central avian research institute (cari) izzatnagar -243122 bareilly u.p. (india) mbers: 91-581-2303223; 2300204; 2301220; 2310023
Government Schemes,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Government Schemes,Tell me subsidy on pipe line,50% subsidy for 50 rupees per meter for hdpe pipe and 35 rupees per meter for pvc pipe.
Plant Protection,Tell me leaf curl in chapan kaddu.,Spray of dimethoate 30% ec 2 ml per litre water
Credit,Tell me insurance claim related information.,Contact in related bank branch.
Sowing Time and Weather,Tell me sugarcane sowing time.,15 feb-15 march.
Plant Protection,Termites in sugarcane,Use fipronil 0.3% gr 12-15 kg per ha
Seeds and Planting Material,I want to forest plants.,Contact in your distt forest department nursary.
Fertilizer Use and Availability,Tell me nutrient management ,Spray of potassium sulphate 0:0:50 10 gm per litre water
Seeds and Planting Material,I want to teak growing please suitablity in my area.,Contact in forest department.
Training and Exposure Visits,Tell me mushroom related training.,Contact in kvk. The contact number is 0129-2202332
Fertilizer Use and Availability,I want to azolla please give iari contact number.,Contact on this number atic 1800118989
Nutrient Management,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
"Power, Roads etc.",Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Fertilizer Use and Availability,I want to organic cargon low in my field.,Use fym or green manuare.
Plant Protection,Tell me red rot problem in sugarcane .,Use disease free healthy setts and sett treatment with carbendazim before planting.
Plant Protection,Tell me about fertigation in litchi plant in bihar,For more information please contact(18001801551) your home state mobile sim
Plant Protection,Tell me aphid control in chapan kaddu,Daimithiyot 30ec 2 ml /litre spray kare .
Market Information,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Plant Protection,Tell me leaf yellowing in wheat,Micronutreant 4 gram/litre spray
Seeds and Planting Material,Tell me tomato varieties.,"Pusa sadabahar,pusa sheetal,pusa-120"
Seeds and Planting Material,Tell me guava varieties.,"Guava varieties l-49,hisar lalit,allahbad safeda."
Government Schemes,I want to agriculture related complaint ragistred.,Your complaint ragistred online this website upagripardarshi.gov.in
Fertilizer Use and Availability,Tell me nutrient management ,Micronutrient 100 gram / plant in root zone
Seeds and Planting Material,Tell me about variety of banana ,"Variety of papaya = taiwan 786, red lady, surya, kurg honeydew, pusa mejestic"
Fertilizer Use and Availability,I want to give urea 15 days onion crop.,Give urea top-dressing is done at 25-30 days after planting.
Cultural Practices,I want to agriculture machinary.,Contact on this number 0755-2737191
Government Schemes,Tell me iari fair date related knowledge.,Contact on this number 1800118989
Credit,I want to loan.,Contact in nearest bank.
Field Preparation,Asked for sms activation ,Sms activation process is successfully completed on your number
Credit,I want to make kisan credit card.,Contact in nearest bank branch.
Cultural Practices,Tell me not growth in wheat,Npk-18;18;18 gred 10 gram/litre spray
Seeds and Planting Material,Tell me bhindi sowing time.,Bhindi sowing time 20 feb-15 march in summer season.
Seeds and Planting Material,Tell me cucurbits sowing time.,Cucurbits sowing 15 feb-15 march in summer season
Plant Protection,Tell me control borer in sugarcane crop.,Spray of imamectin benzoate 1 gm per 3 litre water
Government Schemes,Tell me pusa atic contact number.,"Pusa atic numbar 011-25841670 / 25841039,1800118989(toll free)"
Weather,Tell me nutrient deficiency,Spray of multiplax (micronutrient) 4 ml per litre water
Organic Farming,Tell me how to avilable decomposer,"Please contact director, national centre of orgnic farming ghaziabad 0120- 2764906,2764212"
"Power, Roads etc.",Tell me cont num of pusa,"| pusa helpline: 011-25841670 / 25841039, pusa agricom (1800-11-8989 toll free) |"
Disease Management,Veterinary related doubt,Recommended to contact animal husbandry department toll free number = 1800 419 8800
Plant Protection,Red palm weevil attack,Recommended to apply 20 g metarhizium in 1 litre of water and spray in the cowdung pit. Apply peruvelam leaves into the cowdung pit. Close all the holes on the trunk except the topmost hole. Apply 2 ml imidachloprid in 4 litre of water and pour through the topmost hole. Contact thiruvalla research station 0469 2604181. Mancomb research station 0477 2702245  
Cultural Practices,Methods of planting in coconut,"Recommended to the size of pits for planting would depend upon soil type and water table.in loamy soils with low water table,pit size of 1m*1m*1m is recommended.in laterite soils with underlying rock, take larger pts of size 1.2mx1.2mx1.2m .in sandy soils, the size of pits may be 0.75mx0.75mx0.75m.the pits may be filled upwith top soil to a height of 60 cm below the ground level"
Plant Protection,Attack of ant in cow pea,Recommended to spray cows urine bird chilli mixture1 litre cowsurine and 20 bird chillies extract and mix it.keep it overnight.filter it thoroughly and add 9 litre of water andspray all over the plant and breeding sites of ant.
Government Schemes,How much quantity of magnesium sulfate is to be added to coconut,Recommended to add 500 g magnesium sulfate per palm
Cultural Practices,Why my papaya flowers not bear fruits,Recommended to spray sugar syrup ( (sugar : water -1: 1)for better pollination
Credit,Schemes related to vermicomposting bee keeping,Recommended to contact shm vermicomposting schemes 0471 2330856 bee keeping contact number -0481 2576622
"Animal Production (Piggery, Goatery, Sheep Farming etc.)",Animal husbandry contact toll free number,Recommended to contact toll free number 18004198800
Market Information,Pathanamthitta vfpck contact number,Suggested to contact 0473-4252030 ( pathanamthitta vfpck )
Nutrient Management,Asking about pm kisan samman nidhi scheme information,Recommended to update through https://pmkmy.gov.in/ portal website or e service centre
Government Schemes,Pm samman nidhi application submitted money didint get yet,Suggested to wait due to technical issues processing of money is delayingfor more queries regarding pm kisan scheme contact nearest agriculture office
Nutrient Management,Kvk pathanamthitta contact number,Pgpr 2 can be sprayed 20g per litre of water
Nutrient Management,How can we apply plant growth promoting rhizobacteria (pgpr) 2,Pgpr 2 can be sprayed 20g per litre of water
Cultural Practices,What to be applied to make the vegetative growth better in fodder grass,Recommended to give nitrogen containing fertilizers recommended to give a spray of urea 2 g per litre water and give a spray
Government Schemes,Pmkisan,Suggested to contact near by krishi bhavan and correct the wrongly filled application and resubmit
Nutrient Management,Fertilizer recommendation of coconut,"Recommended to apply urea-500gm, rock phosphate/rajphos-750gm and muriate of potash-1kg for mature coconut palm"
Plant Protection,Can i spray fungicide 2 hours after fertilizer spray ,Recommended to spray fungicide 2 hours after fertilizer spray in morning or evening hours
Government Schemes,Salient features of kisan credit card loan scheme,"Suggested all farmers who are eligible for the kisan credit card will be issued a smart card cum debit card in addition to the kisan credit card.the facility of revolving credit is available for any amount of withdrawals and repayments made within the credit limit. however, instalments of the amount withdrawn have to be repaid within 12 months.based on the annual review, banks will determine the validity of the existing credit card.credit limits can be increased at the issuing bankâ€™s discretion to accommodate for changes in cropping pattern, increase in operating costs, etc. as an incentive for good record on credit card usage.conversion/rescheduling of loans also permissible in case of damage to crops due to natural calamities."
Government Schemes,Benefits of kisan credit cards,"Suggested all farmers who are eligible for the kisan credit card will be issued a smart card cum debit card in addition to the kisan credit card.the facility of revolving credit is available for any amount of withdrawals and repayments made within the credit limit. however, instalments of the amount withdrawn have to be repaid within 12 months.based on the annual review, banks will determine the validity of the existing credit card.credit limits can be increased at the issuing bankâ€™s discretion to accommodate for changes in cropping pattern, increase in operating costs, etc. as an incentive for good record on credit card usage.conversion/rescheduling of loans also permissible in case of damage to crops due to natural calamities."
Government Schemes,Interest and other charges on kisan credit cards,"Suggested all farmers who are eligible for the kisan credit card will be issued a smart card cum debit card in addition to the kisan credit card.the facility of revolving credit is available for any amount of withdrawals and repayments made within the credit limit. however, instalments of the amount withdrawn have to be repaid within 12 months.based on the annual review, banks will determine the validity of the existing credit card.credit limits can be increased at the issuing bankâ€™s discretion to accommodate for changes in cropping pattern, increase in operating costs, etc. as an incentive for good record on credit card usage.conversion/rescheduling of loans also permissible in case of damage to crops due to natural calamities."
Government Schemes,Who is eligible for a kisan credit card loan scheme,"Suggested all farmers who are eligible for the kisan credit card will be issued a smart card cum debit card in addition to the kisan credit card.the facility of revolving credit is available for any amount of withdrawals and repayments made within the credit limit. however, instalments of the amount withdrawn have to be repaid within 12 months.based on the annual review, banks will determine the validity of the existing credit card.credit limits can be increased at the issuing bankâ€™s discretion to accommodate for changes in cropping pattern, increase in operating costs, etc. as an incentive for good record on credit card usage.conversion/rescheduling of loans also permissible in case of damage to crops due to natural calamities."
Government Schemes,Pm samman nidhi application submitted and money didint get yet,Suggested to contact nearby krishibhavan and check the current status of the application submitted
Government Schemes,Pmkisan website link to check the status,Recommended to check www.pmkisan.gov.in to check the status.
Plant Protection,Rhinocerous beetle attack,"Recommended to apply mixture of neem cake (250gm) , sand(250gm) and naphthalene ball (3 nos) in the topmost 3 leaf axils or recommended to keep 20g cartaphydrochloride mixed with 200g sand in leafaxiles."
Government Schemes,Pm kisan related query,Suggested to contact near by krishi bhavan and correct the wrongly filled application and resubmit
Plant Protection,Pig attack in banana field,Recommended to apply 1 litre ecodon in 3 litre of waterimmerse jute fibre in the solution for 12 hourstie the jute fibre on the fence at a height of 0.5 feet and 1 feet sprinkle water on the fibre 2 times in a week
Government Schemes,Pm kisan related query . amount is not transferred to account yet ,"Suggested to edit bank details . recommendation for account details : ,adhar linked ,not taken loan ,savings account/,,jan dhan account with not more than 50,000 rupees transaction ,account not dormant for last 6 months"
Government Schemes,Pm kisan related query,Suggested to contact near by krishi bhavan and check the application status
Plant Protection,Rhinoceros beetle attack,Apply ekalux 10 ml per litre water through the bore holes of beetle .after that place neem seed powder or naphthalene balls + sand in the innermost leaf axils
Nutrient Management,Coconut nutrient management,Recommended to apply 500 gram urea +750 gram rajphos + 1 kg potash .apply the same dose 5 months later
Nutrient Management,Coconut planting,Recommended to apply 500 gram urea +750 gram rajphos + 1 kg potash .apply the same dose 5 months later
Plant Protection,Fungal attack in betel vine,Recommended to apply 1 g saaf in 1 litre of water and spray and drench in the root zone.call back to kisan call centre after 1 week
Plant Protection,Rhinoceros beetle attack,Apply ekalux 2 ml per litre water through the bore holes of beetle
Cultural Practices,Coconut planting,Apply ekalux 2 ml per litre water through the bore holes of beetle
Nutrient Management,Fruiting in cardamom,Recommended to spray borax 5 gram in 1 litre water
Nutrient Management,Cardamom no fruiting condition,Recommended to spray 5 g borax in 1 litre of water and spray
Nutrient Management,Cardamom fertilizer application for single plant,Recommended to applyurea 50gram + rjphos 130gram + mop potash 80 gram per plant now .apply the same dose 5 months later also
Nutrient Management,Coconut organic fertilizer,Recommended to apply 3kg cowdung powder 1kg wood ash 1kg bonemeal and mix it with top soil and fill the pit
Government Schemes,Pmkisan,Pm kisan is a central sector scheme with 100% funding from government of indiait has become operational from 1.12.2018.under the scheme an income support of rs.6000/- per year in three equal instalments will be provided to small and marginal farmer
Nutrient Management,Calcium nitrate foliar dosage for banana,"Recommended to apply calcium nitrate 10g/l of water* for more information contactact kannara banana research station, thrissur"
Government Schemes,Pm kisan related query . amount is not transferred to account yet ,Recommended to check your pm kisan current status at farmers corner - beneficiary status in the pm kisan website http://www.pmkisan.gov.in
Animal Nutrition,Animal husbandry toll free contact number,Recommended to animal husbandry toll free number 1800 419 8800
Plant Protection,Fruit borer in cow pea,Recommended to spray beauveria bassiana 20g/l of water or spray coragen 1ml/3l of water
Government Schemes,Pm samman nidhi application submitted and money didint get yet,Suggested to check the current status of the application submitted
Cultural Practices,Pachouli cultivation related query,"Recommended to contact aromatic and medicinal research station ,odakkali ,eranakulam 0484 2659881"
Cultural Practices,Pruning in brinjal,Pruning can be done by removing the old and weak branches
Plant Protection,Dosage of fame,Recommended to apply 1 ml fame in 3 litre of water and sprayharvest and use only 2 weeks after spraying
Government Schemes,Pm kisan related query,Suggested to wait until the application processing to be completed and money will be directly transferred to your account
Plant Protection,Chilli mite and thrips attack,Recommended to spray neem oil garlic emulsion once in a week neem oil 20 ml garlic cloves 20 no. bar soap 5g make up to 1 litre using water or beaveria 5 ml per litre water
Plant Protection,Fungal wilt in cowpea,Recommended to spray neem oil garlic emulsion once in a week neem oil 20 ml garlic cloves 20 no. bar soap 5g make up to 1 litre using water or beaveria 5 ml per litre water
Nutrient Management,Lime requirement for banana,Recommended to lime requirement for bananaapply lime 500g before 15 days of planting
Plant Protection,Sucker treatment in banana against fungal attack,Recommended to lime requirement for bananaapply lime 500g before 15 days of planting
Government Schemes,Pm samman nidhi application submitted and money didint get yet,Suggested to wait money will be allotted soon
Nutrient Management,Fertilizer recommendation of banana,Recommended to apply 90 g urea 300 g rajphos 100 g muriate of potash for 1 plant 1 month after plantingafter 2 months apply 65 g urea 275 g rajphos 100 g muriate of potash for 1 plant
Nutrient Management,Fruit crack in coconut,Recommeded to apply borax 50g/palm
"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",Virgin coconut oil production,"Recommended to contact coconut development board 0484 2377266 ,67"
Cultural Practices,Kvk contact number,Recommended to contact 0469 2662094
Cultural Practices,Pruning in rambutan,Recommended to contact 0469 2662094
Seeds and Planting Material,Seed availability of good variety papaya,"Recommended to contact state seed farm, adoor 04734-227868"
Government Schemes,Kisan credit card related query,"Recommended to contact near by nationalized bank /rrb/gramin bank. duly filled in application formidentity proof- voter id card/pan card/passport/ aadhaar card,/driving license etcaddress proof: voter id card/passport/aadhaar card/driving license etcland ownership details and recent photograph"
Cultural Practices,Mangosteen season of planting,"Mangosteen requires a warm, very humid and equatorial climate to grow. and can be planted in july and august"
Plant Protection,Mangostein budded plants are planted is it necessary to plant male plant,Suggested since budded plants are used no need to plant male plants
Plant Protection,Is it necessary to plant male plants if budded plants are used in mangostein for planting,Suggested since budded plants are used no need to plant male plants
Seeds,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Dairy Production,Tell me contact number of animal husbandry ,Contact number of animal husbandry-1800 180 1199
Fertilizer Use and Availability,I want to sulfur use in dhaan crop.,Sulfur give depand on soil test.
Seeds,Tell me bajra varieties.,"Pusa hybrid-415,pusa hybrid-605"
Soil Testing,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Plant Protection,Tell me insect control in mango ,Spray of dimethoate 30% ec 2 ml per litre water
Plant Protection,Tell me control of white grub in bajra ,Use quinolfos 5% g 25 kg per ha in soil for control of white grub in groundnut
Plant Protection,Tell me whitefly control in brinjal ,Spray of acetamiprid 20% sp 0.5 gm per litre water
Government Schemes,Tell me contact number of beekeeping ,"National bee board = - 011-23325265, 23719025,"
Weed Management,Tell me weedicide use in dhan crop.,Spray of butachlor 1.5-2 kg a.i. per ha after 3-4 days of transplanting
Plant Protection,Tell me whitefly in cotton crop.,Spray of acetamiprid 20% sp 1 gm per 3 litre water
Varieties,Tell me variety of bajra ,"Variety of bajra = hhb 67 (improved),rhb 173, rhb 121, ghb 538"
Varieties,Tell me variety of rice for direct sowing ,"Variety of rice for direct sowing = pro agro-6111, pr-1160, pusa-834, sugandh-5"
Government Schemes,Tell me contact no. of pusa delhi ,"Contact no. of pusa delhi= 011-25841670,toll free no.- 1800118989"
Seeds and Planting Material,Tell me variety of papaya ,"Variety of papaya = taiwan 786, red lady, surya, kurg honeydew, pusa mejestic"
Nutrient Management,Tell me nutrient management in paddy ,Spray zinc sulphate 33% 5 gm+bujha chuna 2.5 gm/litre water
Cultural Practices,Tell me control of flower droping in cotton ,Spray of planofix 1 ml per 4 litre water
Plant Protection,Tell me control of flower droping in bail ,Spray of planofix 1 ml per 4 litre water
Plant Protection,Tell me control of termite in rice ,Use imidachloprid 17.8% sl 1 litre per ha with irrigation for control of termite
Government Schemes,Tell me contact number of rajfed ,Contact number of rajfed =0141- 2744910
Plant Protection,Die back control in citrus,Spray of copper oxichloride 3 gm per litre water
Plant Protection,Tell me control of flower droping bottle gourd ,Spray of planofix 1 ml per 4 litre water
Plant Protection,Tell me micro nutrient management in brinjal ,Spray of multiplax (micronutrient) 4 ml per litre water
Field Preparation,Toll free no. of pusa-delhi=,"Contact no. of pusa delhi= 011-25841670,toll free no.- 1800118989"
Training and Exposure Visits,I want to mushroom related training.,"Contact on this number krishi vigyan kendra, ujwa,01165638199,9818087979"
Varieties,Tell me variety of bajra ,"????? ?? ?????? ??????? ?? ?? ?? 67-2, ?? ?? ??-173 , ?? ?? ??-177, ?? ?? ??-121, ?? ?? ??- 538 ??"
Plant Protection,Tell me whitefly control in cotton ,Spray of acetamiprid 20% sp 0.5 gm per litre water
Fertilizer Use and Availability,Tell me fruit no proper making.,Spray of multiplax (micronutrient) 4 ml per litre water
Nutrient Management,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and taking 500 gm soil sample for testing soil
Crop Insurance,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and taking 500 gm soil sample for testing soil
Cultural Practices,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and taking 500 gm soil sample for testing soil
Government Schemes,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and taking 500 gm soil sample for testing soil
Fertilizer Use and Availability,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and taking 500 gm soil sample for testing soil
Varieties,Tell me variety of moong ,"Variety of moong =sml 668, rmg 492, rmg 268, rmg 344"
Government Schemes,I want to subsidy on kusum yojana related.,Contact on this number shri. d.k. singh 9235629714
Cultural Practices,Tell me thiophanate methyl related knowledge.,Thiophanate methyl as a fungicide.
Plant Protection,Tell me control rice yellow dwarf.,Spray of imidachloprid 17.8% sl 100ml per hectare.
Government Schemes,Tell me national seed corporation contact number.,"Contact on this number 011 25846292, 25846295"
Fertilizer Use and Availability,Tell me dap rate.,Dap rate 1290 rupees per bag.
Animal Nutrition,Tell me about poultry farm,"Contact person: head, technology transfer, cari, izatnagar-243122 (up) indiaphone: 0581-2303223, 2301220, 2310023; epabx ext: 3112 ; e-mail: mpsagar59@rediffmail.com/ cari_director@rediffmail.com ; fax: 0581-2301321"
Agriculture Mechanization,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Plant Protection,Plz tell me control of white fly in papaya,Spray of acetamiprid 20% sp 0.5 gm per litre water
Plant Protection,Tell me control of flower dropping in bottle gourd ,Spray of planofix 1 ml per 4 litre water
Nutrient Management,Tell me nutrient management in paddy ,Spray soluble npk 18:18:18 grade 10 gm/ltr water
Government Schemes,Tell me contact number of nsc kanpur ,Contact number of nsc kanpur 0512-2691911
Nutrient Management,Tell me nutrient management in cotton ,Spray soluble npk 18:18:18 grade 10 gm/ltr water
Nutrient Management,Tell me nutrient management ,Spray of potassium sulphate 0:0:50 10 gm per litre water
Livestock Products Processing and Packaging,Tell me contact no. of poultry farm ,Contact no. of poultry farm= 0581-2303223; 2300204
Government Schemes,"Tell me contact no. of kvk, ujwa ","Contact no. of kvk, ujwa =011-28015272"
Nutrient Management,Tell me fertilizer in jamun of 5 yrs. ,"Fertilizer in jamun of 5 yrs. fym= 10 - 15 kg, urea= 100 gm,ssp = 300 gm, mop= 100 gm per plant"
Varieties,Tell me variety of bajra ,"Variety of bajra = hhb 67-2, rhb 173, rhb 177, rhb 121, ghb 538"
Plant Protection,Tell me control of bacterial blight disease in jack fruit ,Spray of copper oxichloride 45 gm + streptocyclin 1.5 gm per 15 litre water
Plant Protection,Tell me about white grub control in ratalu ,Use quinolphos 1.5% dust 25 kg per ha mix in soil
Nutrient Management,Tell me fertilizer in mango of 5 yrs. ,"Fertilizer in mango of 5 yrs. fym= 10 kg, urea= 100 gm, ssp= 300 gm, mop= 100 gm per plant"
Plant Protection,Tell me root rot control in paddy ,Drenching of carbendazim 250 gm/bigha in root zone with irrigation
Varieties,Tell me variety of guar ,"Variety of guar = rgc-1066, rgc-936, rgc-1017, rgc 1055, rgc 1038, hg-365, hg 2-20"
Disease Management,Tell me contact number of animal husbandry ,Contact number of animal husbandry-011 2389 0317
Plant Protection,Tell me insect control in cotton ,Spray of imidachloprid 17.8% sl 0.5 ml per litre water
Field Preparation,Tell me control of flower droping,Spray of planofix 1 ml per 4 litre water
Soil Testing,Tell me soil testing lab contact number.,Soil testing lab atrauli mo.9235209477
Seeds and Planting Material,Tell me aloe vera planting time.,July-august month.
Plant Protection,Tell me control termit in dhan crop.,Use chloropyrifos 20% ec 4 litre per ha with irrigation
Disease Management,Tell me contact number of animal husbandry ,Contact number of animal husbandry-1800 180 5141
Government Schemes,Tell me contact no. of pusa delhi ,"Contact no. of pusa delhi= 011-25841670,011- 25841039, 011-25846233, 011-25803600 toll free no.- 1800118989"
Field Preparation,Tell me weed control in paddy ,Spray of butachlor 1.5-2 kg a.i. per ha after 3-4 days of transplanting
Seeds and Planting Material,I want to brahmi seed.,Contact on this number 0522-2718505
Plant Protection,Tell me root rot control in bail ,Drenching of carbendazim 2 gm per litre
Plant Protection,Tell me control leaf curl in chilli.,Spray of dimethoate 30% ec 2 ml per litre water
Seeds,Soil testing,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Government Schemes,Soil testing,Dig 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil
Weed Management,Tell me control of weed in paddy,Spray of bispayribac 80 ml per acer after 15-25 days of transplanting
Weed Management,Weed control in paddy,Bispyribac sodium: 10% sc@200 ml/hac
Plant Protection,Tell me insect control in paddy ,Spray of imamectin benzoate 1 gm per 3 litre water
Disease Management,Tell me contact number of animal husbandry ,Contact number of animal husbandry- 9811029692
Government Schemes,Tell me dd kisan channel contact number ,Dd kisan channel contact number = 1800113060
Plant Protection,Tell me sowing time of carrot ,Sowing time of carrot july - oct .
Seeds,Tell me contact no. of pusa delhi ,"Contact no. of pusa delhi= 011-25841670,toll free no.- 1800118989"
Nutrient Management,Tell me fertilizers in rice ,"Fertilizers in rice= urea= 200 kg, dap= 100 kg, mop= 65 kg, zinc sulphate= 25 kg per ha"
Plant Protection,Plz tell me conrol of bakani in paddy,Use tebuconazole 1 ml per litre water
Plant Protection,Tell me control of termite in paddy,Use fipronil 0.3% gr 12-15 kg per ha
Plant Protection,Tell me control of termite in paddy ,Use imidachloprid 17.8% sl 1 litre per ha with irrigation for control of termite
Seeds and Planting Material,Tell me about seed avilable papaya in itawah,For more information please contact(18001801551) your home state mobile sim
Seeds,Tell me control bakanae disease in dhan crop.,Spray of propiconazole 1 ml per litre water
Plant Protection,Tell me insect in guava,Spray of monocrotophos 36% sl 2 ml per litre water
Seeds and Planting Material,Tell me lemon grass varieties.,"Pragati,praman,kaveri"
Varieties,Tell me vareity of guar ,"Variety of guar = rgc-1066, rgc-936, rgc-1017, rgc 1055, rgc 1038, hg-365, hg 2-20"
Water Management,Tell me insect control in sugarcane ,Use carbofuran 3% g 25-30 kg per ha
Sowing Time and Weather,Tell me dhan nursery time.,Dhan nursery time 15 may to 20june.
Varieties,Tell me variety of bajra ,"Variety of bajra = hhb 67-2, rhb 173, rhb 177, rhb 121, ghb 538 pusa 415"
Field Preparation,Tell me weed control in urd bean ,You can not use herbicide in standing crop
Plant Protection,Tell me disease control in moong ,Spray of mencozeb 2 gm per litre water
Fertilizer Use and Availability,Tell me zinc testing laboratory in up.,"Fertiliser analyst,fertiliser & insecticides qualitycontrol laboratory,delhi road, meerut (u.p)."
Plant Protection,Tell me insect in dhan,Spray of profenofos + cypermethrin 1.5 ml per litre water
Plant Protection,Tell me insect control in brinjal ,Spray of indoxacarb 14.5% sc 1 ml per litre water
Plant Protection,Tell me control of flower droping in jack fruit ,Spray of planofix 1 ml per 4 litre water
Fertilizer Use and Availability,Tell me control of flower droping ,Spray of planofix 1 ml per 4 litre water
Plant Protection,Tell me disease control in in paddy,Spray of mencozeb 2 gm per litre water
Varieties,Tell me variety of bajra ,"Variety of bajra -hhb 67-2, rhb 173,rhb 121, ghb 538"
Plant Protection,Tell me control leaf curl in bhindi.,Spray of dimethoate 30% ec 2 ml per litre water
Plant Protection,Tell me control of bacterial blight disease in moong ,Spray of carbendazim 12% + mancozeb 63% wp 2 gm per litre water
Plant Protection,Tell me whitefly control in tulsi ,Spray of acetamiprid 20% sp 0.5 gm per litre water
Government Schemes,Tell me pusa hepline number.,"Contact on this number 011-25841670,180011898 toll free helpline."
Government Schemes,Tell me bihar agriculture department registration related knowledge.,Contact in bihar agriculture department.
Plant Protection,Tell me insect control in chillies ,Spray of dimethoate 30% ec 2 ml per litre water
Varieties,Tell me variety of bajra,"Variety of bajra = hhb 67 (improved),rhb 173, rhb 121, ghb 538"
Soil Testing,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and taking 500 gm soil sample for testing soil
Training and Exposure Visits,Tell me kvk contact number.,Contact on this number 0129-2202332
